Date; Open; High; Low; Close; Volume
23/11/2020;6600;6610;6550;6600;7.52655E+14
24/11/2020;6600;6600;6545;6565;7.23495E+14
25/11/2020;6580;6585;6380;6410;1.70141E+14
26/11/2020;6350;6490;6300;6480;6.4339E+13
27/11/2020;6480;6490;6380;6385;8.73615E+14
30/11/2020;6385;6400;6135;6205;3.93092E+14
01/12/2020;6220;6435;6220;6395;1.14563E+14
02/12/2020;6460;6485;6340;6450;9.38975E+14
03/12/2020;6500;6525;6425;6460;9.821E+12
04/12/2020;6460;6465;6360;6390;6.49955E+14
07/12/2020;6500;6580;6480;6520;9.6636E+14
08/12/2020;6520;6520;6425;6490;7.05615E+14
10/12/2020;6590;6600;6540;6575;1.5142E+14
11/12/2020;6600;6780;6595;6735;2.1416E+12
14/12/2020;6800;6830;6795;6820;1.79786E+14
15/12/2020;6830;6900;6605;6790;1.64024E+14
16/12/2020;6860;6950;6840;6950;1.38674E+13
17/12/2020;6965;7000;6820;6935;9.192E+11
18/12/2020;6935;6935;6755;6800;1.47238E+14
21/12/2020;6890;6890;6800;6830;9.36925E+14
22/12/2020;6740;6820;6710;6715;6.17905E+14
23/12/2020;6905;6905;6620;6725;7.6948E+12
28/12/2020;6790;6820;6660;6780;6.0234E+12
29/12/2020;6775;6810;6740;6765;3.42125E+14
30/12/2020;6800;6800;6700;6770;5.26755E+14
04/01/2021;6800;6855;6720;6835;4.7937E+13
05/01/2021;6860;7090;6850;7090;1.04831E+14
06/01/2021;7050;7075;6880;6945;8.97535E+14
07/01/2021;7000;7050;6910;6965;7.136E+11
08/01/2021;7035;7080;6975;7050;7.50335E+14
11/01/2021;7150;7360;7145;7345;1.69034E+14
12/01/2021;7345;7380;7160;7160;9.5235E+13
13/01/2021;7245;7275;7070;7120;7.65815E+14
14/01/2021;7050;7090;6995;7020;8.93195E+14
15/01/2021;7095;7100;6840;6955;8.98535E+14
18/01/2021;6955;7125;6845;7120;8.6343E+13
19/01/2021;7120;7120;7005;7095;7.3777E+13
20/01/2021;7165;7295;7070;7095;1.07216E+13
21/01/2021;7280;7300;7060;7075;6.6428E+12
22/01/2021;7075;7160;7075;7080;8.0829E+13
25/01/2021;7200;7200;7000;7035;7.68365E+14
26/01/2021;6955;7000;6820;6820;9.8658E+12
27/01/2021;6820;6930;6705;6790;9.792E+11
28/01/2021;6790;6925;6790;6900;1.04627E+14
29/01/2021;6900;7000;6760;6760;1.32762E+14
01/02/2021;6760;6920;6595;6820;1.13129E+14
02/02/2021;6965;6980;6800;6800;8.6741E+14
03/02/2021;7000;7000;6825;6825;6.7291E+13
04/02/2021;6920;7000;6835;6855;8.09505E+14
05/02/2021;6870;6950;6855;6915;5.1602E+12
08/02/2021;7050;7055;6880;6920;4.5604E+12
09/02/2021;7000;7030;6955;6980;7.5574E+12
10/02/2021;7050;7050;6900;6920;4.49845E+14
11/02/2021;6985;6985;6840;6880;3.6926E+12
15/02/2021;6830;6890;6720;6800;8.3922E+12
16/02/2021;6880;6945;6830;6940;4.7221E+13
17/02/2021;6890;6960;6850;6900;6.60115E+14
18/02/2021;6850;6900;6735;6735;9.1204E+12
19/02/2021;6780;6850;6760;6825;7.04875E+14
22/02/2021;6900;6940;6790;6790;6.8913E+13
23/02/2021;6820;6845;6775;6825;5.836E+11
24/02/2021;6825;6835;6725;6725;7.1869E+13
25/02/2021;6740;6770;6680;6705;7.8688E+12
26/02/2021;6705;6810;6645;6710;1.73632E+14
01/03/2021;6830;7045;6800;7045;2.05539E+14
02/03/2021;7120;7160;7000;7015;8.14465E+14
03/03/2021;7065;7085;7000;7000;8.447E+12
04/03/2021;6905;7000;6720;6720;1.20802E+14
05/03/2021;6720;6925;6720;6800;1.11872E+14
08/03/2021;6950;6950;6720;6720;9.0883E+13
09/03/2021;6700;6715;6600;6605;1.35582E+13
10/03/2021;6720;6720;6620;6705;5.0302E+12
12/03/2021;6875;6880;6715;6765;7.4328E+12
15/03/2021;6815;6820;6665;6665;5.7416E+12
16/03/2021;6710;6710;6620;6625;7.07555E+14
17/03/2021;6650;6665;6605;6610;7.14745E+14
18/03/2021;6620;6720;6610;6705;7.00675E+14
19/03/2021;6770;6770;6625;6760;1.25853E+14
22/03/2021;6640;6680;6610;6620;6.75235E+14
23/03/2021;6720;6720;6555;6565;1.27762E+14
24/03/2021;6515;6550;6420;6440;1.5205E+13
25/03/2021;6400;6440;6330;6370;1.19102E+14
26/03/2021;6370;6445;6300;6415;1.34467E+14
29/03/2021;6410;6515;6360;6360;1.1337E+14
30/03/2021;6370;6455;6370;6395;8.31155E+14
31/03/2021;6390;6395;6145;6215;2.23391E+14
01/04/2021;6215;6270;6155;6225;1.12286E+13
05/04/2021;6250;6290;6155;6155;7.33115E+14
06/04/2021;6135;6170;6080;6165;8.0215E+13
07/04/2021;6155;6275;6135;6250;1.07908E+13
08/04/2021;6200;6215;6125;6135;1.23697E+14
09/04/2021;6315;6320;6145;6200;1.16961E+14
12/04/2021;6295;6295;6060;6065;1.10412E+14
13/04/2021;6050;6060;5980;6000;1.19212E+14
14/04/2021;6105;6305;6060;6305;1.35519E+14
15/04/2021;6305;6310;6180;6280;1.02687E+14
16/04/2021;6370;6370;6215;6275;7.92935E+14
19/04/2021;6275;6280;6230;6270;4.7095E+13
20/04/2021;6200;6250;6185;6235;7.2721E+13
21/04/2021;6200;6225;6165;6165;6.8397E+13
22/04/2021;6200;6275;6180;6215;6.3758E+12
23/04/2021;6280;6395;6225;6390;1.08498E+14
26/04/2021;6395;6400;6280;6285;1.08742E+13
27/04/2021;6370;6435;6355;6405;1.3265E+13
28/04/2021;6400;6405;6315;6320;8.766E+11
29/04/2021;6460;6460;6360;6410;5.7355E+13
30/04/2021;6450;6450;6380;6405;6.58295E+14
03/05/2021;6480;6480;6345;6390;4.20655E+14
04/05/2021;6350;6430;6340;6400;5.01235E+14
05/05/2021;6420;6430;6400;6425;5.1685E+13
06/05/2021;6400;6450;6400;6425;3.81155E+14
07/05/2021;6460;6460;6385;6400;4.8864E+12
10/05/2021;6400;6420;6395;6420;6.81805E+14
11/05/2021;6400;6480;6305;6480;7.068E+11
17/05/2021;6500;6500;6375;6500;1.29058E+14
18/05/2021;6400;6455;6365;6390;7.3563E+13
19/05/2021;6380;6400;6335;6345;6.49125E+14
20/05/2021;6390;6435;6350;6380;6.495E+12
21/05/2021;6450;6450;6260;6360;9.262E+11
24/05/2021;6355;6380;6290;6325;5.921E+12
25/05/2021;6300;6440;6300;6355;8.747E+12
27/05/2021;6440;6480;6270;6270;5.37972E+14
